_id,ltable_id,rtable_id,title_affine_score,title_lev_dist_score,title_lev_sim_score,title_jaro_score,title_jaro_winkler_score,title_needleman_wunsch_score,title_smith_waterman_score,title_jaccard_score,title_cosine_score,title_overlap_coeff_score,title_dice_score,title_monge_elkan_score,author_lev_dist_score,author_lev_sim_score,author_jaro_score,author_jaro_winkler_score,author_needleman_wunsch_score,author_smith_waterman_score,author_jaccard_score,author_cosine_score,author_overlap_coeff_score,author_dice_score,author_monge_elkan_score,publisher_affine_score,publisher_lev_dist_score,publisher_lev_sim_score,publisher_jaro_score,publisher_jaro_winkler_score,publisher_needleman_wunsch_score,publisher_jaccard_score,publisher_cosine_score,publisher_overlap_coeff_score,publisher_dice_score,publisher_monge_elkan_score,year_rel_diff,year_abs_norm,month_rel_diff,month_abs_norm,pages_rel_diff,pages_abs_norm,gold
6800410,4995,2202,8.5,36,0.4285714285714286,0.6455026455026455,0.7873015873015873,-9,27,0.5370370370370371,0.7328281087929399,1,0.6987951807228916,0.8864957264957267,27,0.12903225806451613,0.3839605734767025,0.3839605734767025,-11,2,0.025,0.049147318718299055,0.05555555555555555,0.04878048780487805,0.5654320987654321,-6.5,26,0.0714285714285714,0.32936507936507936,0.32936507936507936,-12,0,0,0,0,0.6388888888888886,0.005509641873278237,0.9945054945054945,0.4,0.6666666666666667,0.4534731323722149,0.6303418803418803,0
5830864,4234,2607,39,2,0.9512195121951219,0.8777360850531583,0.926641651031895,39,39,0.8297872340425532,0.9069767441860467,0.9069767441860465,0.9069767441860465,0.9710594315245479,0,1,1,1,28,28,1,1,1,1,1,14.5,9,0.6666666666666667,0.7115937993130975,0.7404344193817878,12,0.4444444444444444,0.6195224741298931,0.6956521739130435,0.6153846153846154,0.8229885057471267,0,1,0,1,0,1,1
300225,215,211,20,0,1,1,1,20,20,1,1,1,1,1,0,1,1,1,10,10,1,1,1,1,1,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0.11764705882352941,0.8888888888888888,0,1,1
5733986,4155,3228,37.5,5,0.8888888888888888,0.9177184152793908,0.9506310491676345,36,37,0.7959183673469388,0.8865926413116155,0.9069767441860465,0.8863636363636364,0.9711583924349882,3,0.8125,0.8733974358974358,0.9240384615384615,10,10,0.65,0.79115480528524,0.8666666666666667,0.7878787878787878,0.911111111111111,3,20,0.3939393939393939,0.7741702741702742,0.8645021645021645,-6,0.3076923076923077,0.50709255283711,0.75,0.47058823529411764,0.9513888888888888,0,1,0.25,0.7777777777777778,0.15327102803738318,0.8576388888888888,1
6340287,4630,3537,62,0,1,1,1,62,62,1,1,1,1,1,9,0.8125,0.8479700854700855,0.9087820512820513,31,31,0.7358490566037735,0.8510497719203702,0.9285714285714286,0.8478260869565217,0.980952380952381,6,3,0.7272727272727273,0.9090909090909092,0.9454545454545455,5,0.5333333333333333,0.7016464154456235,0.8,0.6956521739130435,0.87008547008547,0,1,1.2,0.25,2,0,1
4665116,3355,2039,48,0,1,1,1,48,48,1,1,1,1,1,19,0.40625,0.7782738095238096,0.8669642857142859,-5,13,0.3055555555555556,0.493914580573631,0.6875,0.46808510638297873,0.8169934640522881,2.5,27,0.15625,0.5172413793103449,0.5172413793103449,2,0,0,0,0,0.6483660130718957,0.0005023863350916855,0.9994977398292315,1.2,0.25,0,1,1
3086811,2174,2972,36,1,0.972972972972973,0.981981981981982,0.9891891891891892,36,36,0.8571428571428571,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9846153846153848,28,0.28205128205128205,0.594017094017094,0.594017094017094,-17,11,0.3103448275862069,0.49923017660270624,0.6923076923076923,0.47368421052631576,0.8720867208672087,12.5,6,0.7272727272727273,0.9090909090909092,0.9454545454545455,10,0.6153846153846154,0.7698003589195012,0.8888888888888888,0.7619047619047619,0.9777777777777779,0.0004991265285749938,0.9995009980039921,0.5882352941176471,0.5454545454545454,2,0,0
1567319,1107,1366,70,0,1,1,1,70,70,1,1,1,1,1,0,1,1,1,13,13,1,1,1,1,1,4,7,0.5333333333333333,0.8444444444444444,0.9066666666666666,1,0.42105263157894735,0.6135719910778963,0.8,0.5925925925925926,0.7660130718954248,0,1,0.2857142857142857,0.75,0,1,1
2962346,2080,2203,31.5,12,0.76,0.9199999999999999,0.952,26,38,0.7037037037037037,0.8332051183416778,0.95,0.8260869565217391,0.9102564102564106,0,1,1,1,18,18,1,1,1,1,1,8.5,20,0.4285714285714286,0.7238095238095239,0.8342857142857143,5,0.21153846153846154,0.3528251645047713,0.4074074074074074,0.3492063492063492,0.7291291291291297,0,1,0.2857142857142857,0.75,0,1,1
2965334,2083,2013,19.5,4,0.8461538461538461,0.9487179487179488,0.9692307692307692,18,18,0.7931034482758621,0.8872442622820285,0.9583333333333334,0.8846153846153846,0.9198412698412699,21,0.08695652173913049,0.3977455716586151,0.3977455716586151,-3,2,0,0,0,0,0.671111111111111,1.5,6,0.4,0.6888888888888888,0.6888888888888888,0,0.25,0.40824829046386296,0.5,0.4,0.8444444444444443,0.004982561036372696,0.9950298210735586,0.13333333333333333,0.875,0.39416058394160586,0.6707317073170731,0
6027789,4394,2176,71,0,1,1,1,71,71,1,1,1,1,1,0,1,1,1,16,16,1,1,1,1,1,7,13,0.5185185185185186,0.8395061728395062,0.9037037037037038,1,0.45161290322580644,0.6499336836196815,0.875,0.6222222222222222,0.9750000000000001,0,1,0,1,0.04586518415566365,0.9551630434782609,1
1416488,998,1365,25,41,0.3970588235294118,0.7985125084516564,0.8791075050709939,22,24,0.5517241379310345,0.7111306211351517,0.7164179104477612,0.7111111111111111,0.9158730158730162,26,0.10344827586206895,0.396360153256705,0.396360153256705,-14,2,0,0,0,0,0.6507936507936505,-7,19,0.09523809523809523,0.4984126984126984,0.4984126984126984,-14,0,0,0,0,0.34009661835748783,0.0024919013207077,0.9975111996017919,1.0769230769230769,0.30000000000000004,0.03225806451612903,0.9682539682539683,0
