_id,ltable_id,rtable_id,title_affine_score,title_lev_dist_score,title_lev_sim_score,title_jaro_score,title_jaro_winkler_score,title_needleman_wunsch_score,title_smith_waterman_score,title_jaccard_score,title_cosine_score,title_overlap_coeff_score,title_dice_score,title_monge_elkan_score,author_lev_dist_score,author_lev_sim_score,author_jaro_score,author_jaro_winkler_score,author_needleman_wunsch_score,author_smith_waterman_score,author_jaccard_score,author_cosine_score,author_overlap_coeff_score,author_dice_score,author_monge_elkan_score,publisher_affine_score,publisher_lev_dist_score,publisher_lev_sim_score,publisher_jaro_score,publisher_jaro_winkler_score,publisher_needleman_wunsch_score,publisher_jaccard_score,publisher_cosine_score,publisher_overlap_coeff_score,publisher_dice_score,publisher_monge_elkan_score,year_rel_diff,year_abs_norm,month_rel_diff,month_abs_norm,pages_rel_diff,pages_abs_norm,gold
285605,205,203,29,0,1,1,1,29,29,1,1,1,1,1,24,0.6712328767123288,0.9406392694063926,0.9643835616438355,47,48,0.8961038961038961,0.945205479452055,0.9452054794520548,0.9452054794520548,0.9893333333333332,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0.0004986287708800798,0.9995014955134596,1.2,0.25,0,1,1
289310,207,99,19.5,35,0.49275362318840576,0.6987843074799597,0.8192705844879759,3,34,0.5454545454545454,0.7126268242184062,0.8181818181818182,0.7058823529411765,0.875117370892019,26,0.4901960784313726,0.8300653594771242,0.8980392156862745,-1,25,0.45454545454545453,0.6608763214317868,0.9259259259259259,0.625,0.7874213836477995,7,13,0.5185185185185186,0.8395061728395062,0.9037037037037038,1,0.45161290322580644,0.6499336836196815,0.875,0.6222222222222222,0.9750000000000001,0.0074757039621231,0.9925521350546177,0.2222222222222222,0.8,0.26573426573426573,0.7654320987654322,0
300225,215,211,20,0,1,1,1,20,20,1,1,1,1,1,0,1,1,1,10,10,1,1,1,1,1,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0.11764705882352941,0.8888888888888888,0,1,1
336017,239,551,16.5,9,0.6785714285714286,0.8474603174603175,0.9084761904761904,16,17,0.5,0.6685032174373867,0.72,0.6666666666666666,0.8770370370370375,25,0.13793103448275867,0.4452281435040056,0.4452281435040056,-14,1,0,0,0,0,0.5827956989247312,-4.5,27,0.15625,0.5575423351158645,0.5575423351158645,-10,0,0,0,0,0.6150326797385623,0.0015011258443832875,0.9985,1.5,0.1428571428571429,0.29892141756548535,0.739946380697051,0
369845,265,516,40,0,1,1,1,40,40,1,1,1,1,1,5,0.5833333333333333,0.7611111111111111,0.7611111111111111,5,7,0.3,0.46291004988627577,0.5,0.46153846153846156,0.7222222222222222,6,0,1,1,1,6,1,1,1,1,1,0,1,0,1,0.04550379198266522,0.9555084745762712,1
413076,295,714,21,8,0.7419354838709677,0.8672599184278829,0.9203559510567297,21,22,0.5238095238095238,0.6878359394287947,0.7096774193548387,0.6875,0.8888888888888892,17,0.15000000000000002,0.45,0.45,-7,2,0,0,0,0,0.6148148148148146,0.5,16,0.23809523809523814,0.501984126984127,0.501984126984127,0,0,0,0,0,0.6318840579710142,0.0004966476285075739,0.9995034756703078,0.5714285714285714,0.5555555555555556,1.0617283950617284,0.30645161290322576,0
436833,312,193,36,0,1,1,1,36,36,1,1,1,1,1,0,1,1,1,11,11,1,1,1,1,1,15,0,1,1,1,15,1,1,1,1,1,0,1,0,1,0,1,1
444174,316,1783,14,11,0.6451612903225806,0.7567204301075269,0.8540322580645161,9,16,0.6363636363636364,0.7914672795166294,0.9545454545454546,0.7777777777777778,0.991919191919192,11,0.2666666666666667,0.5793650793650793,0.5793650793650793,-1,4,0.03571428571428571,0.0700140042014005,0.08333333333333333,0.06896551724137931,0.7490196078431371,-4.5,15,0.11764705882352944,0.40849673202614384,0.40849673202614384,-9,0.038461538461538464,0.08111071056538126,0.125,0.07407407407407407,0.6166666666666666,0.0034782608695652175,0.9965277777777778,1.4285714285714286,0.16666666666666663,0.958904109589041,0.35185185185185186,0
462270,328,1890,43,2,0.9555555555555556,0.9703703703703704,0.9822222222222222,43,43,0.7735849056603774,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.9744680851063829,0,1,1,1,21,21,1,1,1,1,1,16,0,1,1,1,16,1,1,1,1,1,0,1,0,1,0,1,1
515473,368,1236,47,0,1,1,1,47,47,1,1,1,1,1,0,1,1,1,16,16,1,1,1,1,1,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0,1,0.29508196721311475,0.7428571428571429,1
