_id,ltable_id,rtable_id,title_affine_score,title_lev_dist_score,title_lev_sim_score,title_jaro_score,title_jaro_winkler_score,title_needleman_wunsch_score,title_smith_waterman_score,title_jaccard_score,title_cosine_score,title_overlap_coeff_score,title_dice_score,title_monge_elkan_score,author_affine_score,author_lev_dist_score,author_lev_sim_score,author_jaro_score,author_jaro_winkler_score,author_needleman_wunsch_score,author_smith_waterman_score,author_jaccard_score,author_cosine_score,author_overlap_coeff_score,author_dice_score,author_monge_elkan_score,publisher_affine_score,publisher_lev_dist_score,publisher_lev_sim_score,publisher_jaro_score,publisher_jaro_winkler_score,publisher_needleman_wunsch_score,publisher_smith_waterman_score,publisher_jaccard_score,publisher_cosine_score,publisher_overlap_coeff_score,publisher_dice_score,publisher_monge_elkan_score,year_rel_diff,year_abs_norm,month_rel_diff,month_abs_norm,pages_rel_diff,pages_abs_norm,gold
30951,23,16,28.5,7,0.8108108108108107,0.8727679292195422,0.9236607575317253,28.0,28.0,0.6304347826086957,0.7739527433912544,0.8055555555555556,0.7733333333333333,0.931054131054131,9.5,12,0.5714285714285714,0.8571428571428571,0.9142857142857143,4.0,16.0,0.5,0.6885303726590963,0.8888888888888888,0.6666666666666666,0.8325925925925932,4.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.00099601593625498,0.9990044798407167,0.5882352941176471,0.5454545454545454,0.5,0.6,0
153722,110,577,13.0,0.0,1.0,1.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,1.0,1.0,1.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,-4.0,33,0.28260869565217395,0.7608695652173912,0.8565217391304347,-20.0,13.0,0.2708333333333333,0.4949015419574726,0.8666666666666667,0.4262295081967213,0.7666666666666674,0.0005008765339343851,0.99949924887331,0.0,1.0,0.06451612903225806,0.9375,1
179900,126,1751,40.5,12,0.7966101694915254,0.9322033898305085,0.9593220338983052,35.0,47.0,0.7540983606557377,0.8643929322032533,0.9583333333333334,0.8598130841121495,0.9402550091074683,14.0,0.0,1.0,1.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,6.0,3,0.7272727272727273,0.9090909090909092,0.9454545454545455,5.0,8.0,0.5333333333333333,0.7016464154456235,0.8,0.6956521739130435,0.87008547008547,0.00199501246882793,0.9980069755854509,0.2222222222222222,0.8,1.5310709563684441,0.1328007988017973,0
254870,183,214,53.5,13,0.821917808219178,0.9351747885320757,0.9611048731192454,48.0,60.0,0.75,0.8591121014790615,0.9193548387096774,0.8571428571428571,0.9484444444444443,21.5,17,0.6382978723404256,0.8686799359414321,0.9212079615648593,14.0,30.0,0.7894736842105263,0.8827348295047495,0.9090909090909091,0.8823529411764706,0.9673469387755101,13.0,0.0,1.0,1.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.18181818181818182,0.8333333333333334,0.0,1.0,1
436833,312,193,36.0,0.0,1.0,1.0,1.0,36.0,36.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0,1.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,1.0,1.0,1.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1
564922,405,532,43.5,35,0.6067415730337078,0.8126914459604065,0.887614867576244,32.0,54.0,0.5247524752475248,0.692056992956813,0.7681159420289855,0.6883116883116883,0.950925925925926,15.5,14,0.5882352941176471,0.7670733478576617,0.7670733478576617,13.0,18.0,0.5405405405405406,0.7018624063435964,0.7142857142857143,0.7017543859649122,0.9444444444444444,6.0,20,0.4285714285714286,0.774255082149819,0.8645530492898914,-1.0,12.0,0.26666666666666666,0.4364357804719847,0.5714285714285714,0.42105263157894735,0.7561561561561567,0.00199203187250996,0.9980099502487563,1.6666666666666667,0.09090909090909094,0.5923016496465043,0.543030303030303,0
599859,429,495,31.0,13,0.7450980392156863,0.7615239078087376,0.7615239078087376,25.0,38.0,0.8181818181818182,0.901127113779166,0.9473684210526315,0.9,0.99,7.0,3,0.75,0.9166666666666666,0.95,6.0,6.0,0.6666666666666666,0.8058229640253802,0.9090909090909091,0.8,0.9838383838383838,-5.5,23,0.14814814814814814,0.37991021324354657,0.37991021324354657,-12.0,2.0,0.0,0.0,0.0,0.0,0.45747126436781593,0.0,1.0,1.0,0.33333333333333337,0.01309090909090909,0.9869942196531792,0
608100,434,800,53.5,12,0.8333333333333334,0.9444444444444445,0.9666666666666667,48.0,60.0,0.7837837837837838,0.8824418982027676,0.9666666666666667,0.8787878787878788,0.9402402402402398,30.0,0.0,1.0,1.0,1.0,30.0,30.0,1.0,1.0,1.0,1.0,1.0,6.5,14,0.5,0.8333333333333334,0.9,0.0,14.0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0.0,1.0,0.0,1.0,0.006968641114982578,0.9930555555555556,0
669114,475,640,57.0,15,0.8125,0.9196289821289821,0.9517773892773893,51.0,63.0,0.7407407407407407,0.8536655898367083,0.9230769230769231,0.851063829787234,0.9476964769647692,21.0,16,0.5897435897435898,0.754500895125895,0.803600716100716,20.0,21.0,0.7391304347826086,0.8502657495766042,0.8717948717948718,0.85,0.9766381766381766,-10.5,29,0.12121212121212122,0.45526695526695526,0.45526695526695526,-22.0,3.0,0.023255813953488372,0.0563436169819011,0.1111111111111111,0.045454545454545456,0.7358024691358023,0.0044742729306487695,0.9955357142857143,0.4,0.6666666666666667,0.2744323790720632,0.7586805555555556,0
871447,613,1184,28.0,1,0.9655172413793104,0.9770114942528737,0.9862068965517242,28.0,28.0,0.8235294117647058,0.903225806451613,0.9032258064516129,0.9032258064516129,0.9806451612903225,14.0,0.0,1.0,1.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,14.0,0.0,1.0,1.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0024894199651481204,0.9975136747886624,0.8571428571428571,0.4,0.06489675516224189,0.9371428571428572,0
942772,665,465,22.5,49,0.379746835443038,0.7804472899348576,0.8682683739609145,18.0,26.0,0.5157894736842106,0.682202514925312,0.7313432835820896,0.6805555555555556,0.9215873015873017,-1.0,22,0.12,0.4630799220272905,0.4630799220272905,-3.0,4.0,0.0,0.0,0.0,0.0,0.5497942386831274,-2.5,22,0.15384615384615385,0.4775641025641026,0.4775641025641026,-6.0,2.0,0.0,0.0,0.0,0.0,0.5452380952380951,0.0004986287708800798,0.9995014955134596,0.6666666666666666,0.5,0.21818181818181817,0.8032786885245902,0
1155916,816,1068,84.5,33,0.7555555555555555,0.8613289760348585,0.9167973856209151,69.0,86.0,0.64,0.7945016530582734,0.96,0.7804878048780488,0.9260340632603402,29.0,0.0,1.0,1.0,1.0,29.0,29.0,1.0,1.0,1.0,1.0,1.0,3.0,12,0.2941176470588235,0.5204248366013072,0.5683823529411764,3.0,4.0,0.027777777777777776,0.05407380704358752,0.05555555555555555,0.05405405405405406,0.6691358024691357,0.0,1.0,0.0,1.0,0.0,1.0,1
1200768,847,1813,8.5,8,0.6190476190476191,0.7832722832722833,0.86996336996337,5.0,9.0,0.5833333333333334,0.7537346628814318,0.9333333333333333,0.7368421052631579,0.9881481481481482,-3.0,16,0.1578947368421053,0.4543859649122807,0.4543859649122807,-6.0,2.0,0.0,0.0,0.0,0.0,0.6759259259259257,-5.5,24,0.1428571428571429,0.529532967032967,0.529532967032967,-11.0,2.0,0.0,0.0,0.0,0.0,0.5918518518518517,0.0015003750937734434,0.9985007496251874,1.3333333333333333,0.19999999999999996,0.9107981220657277,0.37419354838709673,0
1206487,851,1751,47.0,0.0,1.0,1.0,1.0,47.0,47.0,1.0,1.0,1.0,1.0,1.0,14.0,0.0,1.0,1.0,1.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,6.0,3,0.7272727272727273,0.9090909090909092,0.9454545454545455,5.0,8.0,0.5333333333333333,0.7016464154456235,0.8,0.6956521739130435,0.87008547008547,0.0049800796812749,0.9950322901142573,0.6666666666666666,0.5,2.0,0.0,0
1221318,862,891,12.0,8,0.6,0.792156862745098,0.792156862745098,12.0,12.0,0.5357142857142857,0.6978631577988531,0.7142857142857143,0.6976744186046512,0.8797979797979797,-6.0,23,0.07999999999999996,0.42454545454545456,0.42454545454545456,-12.0,2.0,0.0,0.0,0.0,0.0,0.3999999999999999,-11.0,27,0.0357142857142857,0,0,-21.0,1.0,0.0,0.0,0.0,0.0,0.20592592592592587,0.002997002997002997,0.9970074812967581,0.2857142857142857,0.75,0.5714285714285714,0.5555555555555556,0
1239413,874,1419,26.5,12,0.7333333333333334,0.9111111111111111,0.9466666666666667,21.0,33.0,0.673469387755102,0.8136375599905377,0.9428571428571428,0.8048780487804879,0.9196217494089836,15.0,0.0,1.0,1.0,1.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,12,0.2941176470588235,0.5204248366013072,0.5683823529411764,3.0,4.0,0.027777777777777776,0.05407380704358752,0.05555555555555555,0.05405405405405406,0.6691358024691357,0.0004993757802746567,0.9995007488766849,0.0,1.0,0.3673469387755102,0.6896551724137931,1
1318257,928,420,39.5,12,0.7931034482758621,0.9310344827586207,0.9586206896551724,34.0,46.0,0.7419354838709677,0.8571593913749195,0.9583333333333334,0.8518518518518519,0.9288888888888891,1.0,14,0.26315789473684215,0.4689608636977058,0.4689608636977058,-1.0,5.0,0.058823529411764705,0.1126872339638022,0.13333333333333333,0.1111111111111111,0.7111111111111109,-2.5,18,0.0,0.44841269841269843,0.44841269841269843,-4.0,2.0,0.0,0.0,0.0,0.0,0.6041666666666665,0.0024894199651481204,0.9975136747886624,1.0,0.33333333333333337,0.05405405405405406,0.9473684210526316,0
1591730,1129,891,14.0,8,0.6799999999999999,0.7354901960784314,0.7354901960784314,12.0,17.0,0.5483870967741935,0.7139328934618736,0.8095238095238095,0.7083333333333334,0.8674897119341564,0.5,10,0.23076923076923073,0.5463869463869464,0.5463869463869464,0.0,3.0,0.0,0.0,0.0,0.0,0.5585185185185184,6.0,0.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,0.005967180507210343,0.9940505701536936,1.0,0.33333333333333337,1.5555555555555556,0.125,0
1633254,1158,1123,36.0,27,0.6493506493506493,0.8831168831168831,0.9298701298701298,23.0,50.0,0.6712328767123288,0.8142950928287089,0.9607843137254902,0.8032786885245902,0.8767932489451475,32.0,27,0.6301369863013699,0.8767123287671232,0.9260273972602739,19.0,46.0,0.7704918032786885,0.8777766249329545,1.0,0.8703703703703703,0.9122962962962966,3.0,12,0.2941176470588235,0.5204248366013072,0.5683823529411764,3.0,4.0,0.027777777777777776,0.05407380704358752,0.05555555555555555,0.05405405405405406,0.6691358024691357,0.0,1.0,0.0,1.0,0.0,1.0,1
1872463,1321,3612,16.0,11,0.6451612903225806,0.7844982078853047,0.8706989247311828,13.0,13.0,0.5128205128205128,0.6827887419989189,0.7692307692307693,0.6779661016949152,0.9350427350427352,-17.5,49,0.125,0.4695258445258445,0.4695258445258445,-36.0,3.0,0.0,0.0,0.0,0.0,0.5333333333333338,-3.5,12,0.07692307692307687,0.41452991452991456,0.41452991452991456,-6.0,1.0,0.0,0.0,0.0,0.0,0.5583333333333332,0.0024956326428749688,0.9975074775672981,1.5555555555555556,0.125,0.22841225626740946,0.795,0
1929295,1364,1055,25.5,18,0.6538461538461539,0.7105295340589458,0.7105295340589458,19.0,33.0,0.55,0.7190924955066748,0.8461538461538461,0.7096774193548387,0.8572016460905348,-5.0,23,0.11538461538461542,0.43632478632478633,0.43632478632478633,-11.0,2.0,0.0,0.0,0.0,0.0,0.6301587301587299,-5.0,15,0.0625,0.40972222222222227,0.40972222222222227,-9.0,1.0,0.0,0.0,0.0,0.0,0.4716049382716048,0.004982561036372696,0.9950298210735586,1.5,0.1428571428571429,0.18696883852691218,0.8290155440414508,0
2159384,1530,1030,12.5,16,0.5675675675675675,0.7288717288717289,0.7288717288717289,5.0,21.0,0.5121951219512195,0.7011695914588867,0.9130434782608695,0.6774193548387096,0.982608695652174,9.0,14,0.5,0.7836779448621553,0.8702067669172932,5.0,14.0,0.38235294117647056,0.575649675601062,0.7647058823529411,0.5531914893617021,0.961904761904762,13.5,11,0.5925925925925926,0.7791585445094217,0.867495126705653,13.0,15.0,0.34146341463414637,0.5098499285104608,0.5384615384615384,0.509090909090909,0.8598290598290603,0.0010005002501250625,0.999,0.8571428571428571,0.4,0.0,1.0,0
2163784,1533,1561,8.5,14,0.5333333333333333,0.7506944444444444,0.8504166666666667,2.0,12.0,0.5151515151515151,0.7083333333333334,0.9444444444444444,0.68,0.7805555555555554,3.0,10,0.23076923076923073,0.5897435897435898,0.6307692307692307,3.0,3.0,0.034482758620689655,0.06666666666666665,0.06666666666666667,0.06666666666666667,0.6518518518518517,-3.5,25,0.1071428571428571,0.43960084033613445,0.43960084033613445,-8.0,2.0,0.0,0.0,0.0,0.0,0.5096296296296294,0.0024906600249066002,0.9975124378109452,1.2,0.25,0.9322314049586777,0.36414881623449835,0
2338810,1656,1419,10.5,26,0.39534883720930236,0.7201080573173596,0.7201080573173596,6.0,16.0,0.5918367346938775,0.7475319302283772,0.8285714285714286,0.7435897435897436,0.9120987654320988,-4.0,26,0.1875,0.5159722222222222,0.5159722222222222,-11.0,4.0,0.02,0.041594516540385144,0.058823529411764705,0.0392156862745098,0.6444444444444446,2.0,22,0.37142857142857144,0.6459383753501401,0.6459383753501401,-5.0,11.0,0.19148936170212766,0.33944142888212137,0.47368421052631576,0.32142857142857145,0.7321321321321324,0.0004993757802746567,0.9995007488766849,0.18181818181818182,0.8333333333333334,0.7903780068728522,0.43349753694581283,0
2435058,1720,168,17.5,12,0.6666666666666667,0.8888888888888888,0.9333333333333333,12.0,24.0,0.6,0.7635417155709334,0.9230769230769231,0.75,0.8163742690058483,10.0,4,0.75,0.8493589743589745,0.9096153846153847,9.0,9.0,0.5714285714285714,0.7302967433402215,0.8,0.7272727272727273,0.9466666666666667,7.0,0.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.09523809523809523,0.9090909090909091,0.0,1.0,1
2445050,1726,138,25.0,0.0,1.0,1.0,1.0,25.0,25.0,1.0,1.0,1.0,1.0,1.0,31.0,0.0,1.0,1.0,1.0,31.0,31.0,1.0,1.0,1.0,1.0,1.0,5.0,19,0.3870967741935484,0.6937707171153691,0.8162624302692214,0.0,11.0,0.22727272727272727,0.37986858819879316,0.47619047619047616,0.37037037037037035,0.7420875420875427,0.0,1.0,0.6666666666666666,0.5,0.022764227642276424,0.977491961414791,1
2445316,1726,607,18.0,5,0.8,0.828030303030303,0.828030303030303,17.0,20.0,0.6451612903225806,0.7856742013183862,0.8333333333333334,0.7843137254901961,0.9078189300411522,0.5,25,0.19354838709677424,0.5473630312339989,0.5473630312339989,-1.0,4.0,0.0,0.0,0.0,0.0,0.6222222222222222,-4.0,26,0.16129032258064513,0.546415770609319,0.546415770609319,-11.0,5.0,0.02040816326530612,0.04222003309207491,0.058823529411764705,0.04,0.5690235690235692,0.002494387627837366,0.9975087194818136,1.5555555555555556,0.125,0.48756218905472637,0.608,0
2445681,1726,1383,19.0,7,0.7586206896551724,0.7666866566716641,0.7666866566716641,18.0,20.0,0.5263157894736842,0.6913011298202835,0.7407407407407407,0.6896551724137931,0.916872427983539,-6.0,26,0.16129032258064513,0.445232187167671,0.445232187167671,-13.0,3.0,0.0,0.0,0.0,0.0,0.6107744107744109,-5.5,28,0.09677419354838712,0.4043854100780097,0.4043854100780097,-11.0,2.0,0.0,0.0,0.0,0.0,0.414141414141414,0.00199501246882793,0.9980069755854509,1.6923076923076923,0.08333333333333337,0.4289405684754522,0.6468085106382979,0
2486444,1756,300,26.5,2,0.9333333333333333,0.8884920634920634,0.9330952380952381,26.0,26.0,0.8235294117647058,0.9036961141150639,0.9333333333333333,0.9032258064516129,0.9866666666666667,11.0,18,0.4375,0.6653138528138528,0.6653138528138528,10.0,15.0,0.4,0.5850179393017045,0.7272727272727273,0.5714285714285714,0.7568627450980392,14.5,7,0.72,0.8498245614035088,0.9098947368421053,12.0,18.0,0.5,0.6719368409052928,0.7619047619047619,0.6666666666666666,0.9523809523809526,0.0030015007503751876,0.997002997002997,0.4,0.6666666666666667,0.28792270531400965,0.7483108108108107,0
