title_affine_score,title_lev_dist_score,title_lev_sim_score,title_jaro_score,title_jaro_winkler_score,title_needleman_wunsch_score,title_smith_waterman_score,title_jaccard_score,title_cosine_score,title_overlap_coeff_score,title_dice_score,title_monge_elkan_score,author_lev_dist_score,author_lev_sim_score,author_jaro_score,author_jaro_winkler_score,author_needleman_wunsch_score,author_smith_waterman_score,author_jaccard_score,author_cosine_score,author_overlap_coeff_score,author_dice_score,author_monge_elkan_score,publisher_affine_score,publisher_lev_dist_score,publisher_lev_sim_score,publisher_jaro_score,publisher_jaro_winkler_score,publisher_needleman_wunsch_score,publisher_jaccard_score,publisher_cosine_score,publisher_overlap_coeff_score,publisher_dice_score,publisher_monge_elkan_score,year_rel_diff,year_abs_norm,month_rel_diff,month_abs_norm,pages_rel_diff,pages_abs_norm
34,0,1,1,1,34,34,1,1,1,1,1,1,0.9166666666666666,0.9722222222222222,0.9833333333333333,10,10,0.8,0.8894991799933215,0.9230769230769231,0.8888888888888888,0.9863247863247864,4,0,1,1,1,4,1,1,1,1,1,0,1,0.15384615384615385,0.8571428571428572,0,1
10,26,0.38095238095238093,0.7099906629318394,0.7099906629318394,8,13,0.5384615384615384,0.7035264706814485,0.7777777777777778,0.7,0.9561728395061729,12,0.07692307692307687,0.5463869463869464,0.5463869463869464,-1,1,0,0,0,0,0.5709401709401708,-2.5,9,0.09999999999999998,0,0,-5,0.058823529411764705,0.11785113019775793,0.16666666666666666,0.1111111111111111,0.6259259259259259,0.002498126405196103,0.9975049900199601,0.5882352941176471,0.5454545454545454,0.23788546255506607,0.7874015748031495
28.5,14,0.7142857142857143,0.7486486486486487,0.798918918918919,23,35,0.5789473684210527,0.7399400733959436,0.8461538461538461,0.7333333333333333,0.8623093681917213,1,0.9615384615384616,0.9071794871794872,0.9443076923076923,24,24,0.896551724137931,0.9456108576893003,0.9629629629629629,0.9454545454545454,0.9934156378600824,6,0,1,1,1,6,1,1,1,1,1,0,1,0,1,0.11246943765281174,0.8935185185185185
17,56,0.4509803921568627,0.6406869698233902,0.6406869698233902,-6,40,0.5396825396825397,0.7013664474559795,0.723404255319149,0.7010309278350515,0.9213675213675216,0,1,1,1,29,29,1,1,1,1,1,3,12,0.2941176470588235,0.5204248366013072,0.5683823529411764,3,0.027777777777777776,0.05407380704358752,0.05555555555555555,0.05405405405405406,0.6691358024691357,0.0005001250312578145,0.9995,1.6923076923076923,0.08333333333333337,2,0
25.5,23,0.54,0.7363492063492063,0.7363492063492063,15,38,0.5483870967741935,0.7084871015612022,0.723404255319149,0.7083333333333334,0.9341880341880344,24,0.1724137931034483,0.4830571727123451,0.4830571727123451,-13,3,0,0,0,0,0.5777777777777778,-3,25,0.19354838709677424,0.5158602150537633,0.5158602150537633,-9,0.02,0.04103049699311091,0.05555555555555555,0.0392156862745098,0.7320987654320987,0.001998001998001998,0.998003992015968,1.6,0.11111111111111116,2,0
18,0,1,1,1,18,18,1,1,1,1,1,7,0.7083333333333333,0.9027777777777778,0.9416666666666667,10,17,0.6071428571428571,0.7648661601319408,0.8947368421052632,0.7555555555555555,0.8709401709401714,9,19,0.3666666666666667,0.6312563016737246,0.6312563016737246,8,0.125,0.22225022225033336,0.22580645161290322,0.2222222222222222,0.7062500000000004,0.0004991265285749938,0.9995009980039921,0.6666666666666666,0.5,0.06060606060606061,0.9411764705882353
19,0,1,1,1,19,19,1,1,1,1,1,0,1,1,1,13,13,1,1,1,1,1,-4.5,19,0.13636363636363635,0.4424242424242424,0.4424242424242424,-9,0,0,0,0,0.48703703703703694,0.0014921661278288984,0.9985089463220675,1.3333333333333333,0.19999999999999996,0.08333333333333333,0.92
19,0,1,1,1,19,19,1,1,1,1,1,6,0.6842105263157895,0.8434547908232118,0.9060728744939271,7,7,0.6363636363636364,0.7888106377466154,0.9333333333333333,0.7777777777777778,0.9881481481481482,4,12,0.4545454545454546,0.7878787878787877,0.8727272727272727,-1,0.27586206896551724,0.45291081365783836,0.6153846153846154,0.43243243243243246,0.6194444444444444,0.0014899428855227217,0.9985111662531018,1.3333333333333333,0.19999999999999996,0.2988505747126437,0.74
42.5,19,0.7246376811594203,0.8714198112502056,0.9228518867501234,38,48,0.6075949367088608,0.7578107735408072,0.8135593220338984,0.7559055118110236,0.9120500782472616,24,0.368421052631579,0.66158665895508,0.763110661268556,10,17,0.3829787234042553,0.5692099788303082,0.72,0.5538461538461539,0.9639639639639641,18,5,0.8076923076923077,0.9358974358974358,0.9615384615384615,16,0.7,0.8275159265510557,0.9130434782608695,0.8235294117647058,0.9103174603174606,0,1,0,1,0,1
28,0,1,1,1,28,28,1,1,1,1,1,3,0.896551724137931,0.8885941644562334,0.9331564986737401,23,23,0.84375,0.9164397149578765,0.9642857142857143,0.9152542372881356,0.9598566308243727,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0,1,0,1
28,0,1,1,1,28,28,1,1,1,1,1,0,1,1,1,29,29,1,1,1,1,1,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0.18181818181818182,0.8333333333333334,0,1
24,17,0.6458333333333333,0.7216435185185185,0.7216435185185185,19,30,0.5172413793103449,0.6882472016116854,0.7894736842105263,0.6818181818181818,0.9473684210526315,6,0.4,0.6148148148148148,0.6148148148148148,3,4,0.09523809523809523,0.17407765595569785,0.18181818181818182,0.17391304347826086,0.6259259259259259,-5.5,21,0.16000000000000003,0.49833333333333335,0.49833333333333335,-13,0.027777777777777776,0.06085806194501844,0.1,0.05405405405405406,0.44032921810699577,0.004476498383486694,0.9955334987593052,0.5263157894736842,0.5833333333333333,0.5367316341829086,0.5768321513002364
14.5,27,0.4375,0.7962962962962963,0.7962962962962963,9,21,0.5535714285714286,0.7184091507219484,0.8157894736842105,0.7126436781609196,0.9590643274853801,10,0.09090909090909094,0.41313131313131307,0.41313131313131307,0,1,0,0,0,0,0.6148148148148146,0,22,0.12,0.5221164021164021,0.5221164021164021,-1,0,0,0,0,0.5069958847736623,0.002484472049689441,0.9975186104218362,1.2,0.25,0.6519337016574586,0.5083333333333333
36,0,1,1,1,36,36,1,1,1,1,1,13,0.4347826086956522,0.8115942028985508,0.8869565217391304,-3,10,0.38461538461538464,0.5892556509887896,0.8333333333333334,0.5555555555555556,0.9666666666666668,11,9,0.64,0.88,0.928,7,0.5517241379310345,0.7257747386024231,0.8888888888888888,0.7111111111111111,0.8452674897119347,0.0004961548002976929,0.9995039682539683,1.6923076923076923,0.08333333333333337,0,1
31.5,12,0.76,0.9199999999999999,0.952,26,38,0.7037037037037037,0.8332051183416778,0.95,0.8260869565217391,0.9021367521367524,0,1,1,1,17,17,1,1,1,1,1,0.5,20,0.2592592592592593,0.491285403050109,0.491285403050109,-3,0.043478260869565216,0.08520286456846099,0.10526315789473684,0.08333333333333333,0.6982456140350877,0.0004996252810392206,0.9995004995004995,1.6923076923076923,0.08333333333333337,0,1
30,0,1,1,1,30,30,1,1,1,1,1,0,1,1,1,13,13,1,1,1,1,1,-4,33,0.28260869565217395,0.7608695652173912,0.8565217391304347,-20,0.2708333333333333,0.4949015419574726,0.8666666666666667,0.4262295081967213,0.7666666666666674,0.0005006257822277847,0.9994994994994995,1.6666666666666667,0.09090909090909094,0.034912718204488775,0.9656862745098039
17,0,1,1,1,17,17,1,1,1,1,1,0,1,1,1,16,16,1,1,1,1,1,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0,1,0,1
12.5,8,0.6799999999999999,0.7560784313725492,0.7560784313725492,9,17,0.5862068965517241,0.7505683356701913,0.8947368421052632,0.7391304347826086,0.9789473684210527,22,0.18518518518518523,0.4837962962962963,0.4837962962962963,-6,3,0,0,0,0,0.6740740740740738,-1,24,0.1428571428571429,0.4961038961038961,0.4961038961038961,-4,0,0,0,0,0.5718518518518517,0,1,0.8235294117647058,0.41666666666666663,0.1927710843373494,0.8241758241758241
75,0,1,1,1,75,75,1,1,1,1,1,0,1,1,1,17,17,1,1,1,1,1,0,14,0.17647058823529416,0.5548373195432018,0.5993535875888816,-1,0.030303030303030304,0.05923488777590923,0.06666666666666667,0.058823529411764705,0.6198830409356724,0,1,0,1,0.2857142857142857,0.75
34,0,1,1,1,34,34,1,1,1,1,1,0,1,1,1,13,13,1,1,1,1,1,8,0,1,1,1,8,1,1,1,1,1,0,1,0.18181818181818182,0.8333333333333334,0,1
71,6,0.9240506329113924,0.9117054265311592,0.9470232559186955,71,71,0.875,0.9336653622777864,0.958904109589041,0.9333333333333333,0.9928669410150891,0,1,1,1,21,21,1,1,1,1,1,3,20,0.3939393939393939,0.7741702741702742,0.8645021645021645,-6,0.3076923076923077,0.50709255283711,0.75,0.47058823529411764,0.9513888888888888,0,1,0,1,0.0728744939271255,0.9296875
